yearel,myoutcome,second,myoutcomenext,use,difshare,difgrp,mmyoutcomenext,mrunagain,mofficeexp,melectexp,mpmyoutcomenext,mprunagain,mpofficeexp,mpelectexp
1946,1,,0,,.061488152,212,,,,,,,,
1946,0,1,0,1,-.061488152,187,.10714286,.21428572,2.0535715,2.3392856,.069917142,.28555492,.67148286,.93291831
1948,1,,1,1,.10486948,220,.74358976,.87179488,3.2564104,3.4615386,.7493633,.86938769,2.6508601,2.8722246
1948,0,1,0,,-.10486948,179,,,,,,,,
1948,0,,0,,-.535721,92,,,,,,,,
1950,1,,0,1,.16446409,232,.85365856,.9512195,2.8536584,3.1219511,.79522896,.87307674,3.3292677,3.5222282
1950,0,1,0,,-.16446409,167,,,,,,,,
1950,0,,0,,-.57842195,84,,,,,,,,
1952,1,,1,1,.079360813,215,.7735849,.88679248,1.5660378,1.6415094,.72071993,.86791235,2.3247347,2.5585215
1952,0,1,0,,-.079360813,184,,,,,,,,
1954,1,,0,1,.1392521,227,.84615386,.88461536,3.7692308,3.9807692,.77934843,.87153876,3.0634527,3.2680206
1954,0,1,0,,-.1392521,172,,,,,,,,
1956,1,,0,,.073601931,214,,,,,,,,
1956,0,1,0,1,-.073601931,185,.06122449,.18367347,.6122449,.91836733,.060147043,.26719928,.61908001,.87746882
1956,0,,0,,-.53037947,93,,,,,,,,
1958,1,,1,1,.086821526,217,.64583331,.75,2.3541667,2.6666667,.73361057,.86852217,2.4651525,2.6936741
1958,0,1,0,,-.086821526,182,,,,,,,,
1960,1,,1,1,.16916025,233,.78947371,.81578946,3.2894738,3.4473684,.79789972,.87337434,3.3786855,3.5694075
1960,0,1,0,,-.16916025,166,,,,,,,,
1962,1,,1,1,.15559244,231,.89473683,.92105263,3.2894738,3.3421052,.79229605,.87276435,3.2767668,3.4720764
1962,0,1,0,,-.15559244,168,,,,,,,,
1962,0,,0,,-.56893235,86,,,,,,,,
1964,1,,1,1,.39935827,279,.89361703,.91489363,4.9361701,5.0851064,.83571392,.88090527,4.7145267,4.8208785
1964,0,1,0,,-.39935827,120,,,,,,,,
1966,1,,1,1,.16807723,233,.78947371,.81578946,3.2894738,3.4473684,.79789972,.87337434,3.3786855,3.5694075
1966,0,1,0,,-.16807723,166,,,,,,,,
1966,0,,0,,-.57278204,85,,,,,,,,
1968,1,,0,1,.25156257,250,.87179488,.92307693,4.5641026,4.6666665,.82690763,.87790829,4.0876942,4.2423286
1968,0,1,0,,-.25156257,149,,,,,,,,
1968,0,,0,,-.62149459,75,,,,,,,,
1970,1,,1,1,.0064237714,201,.6875,.91666669,1.8125,1.9791666,.59540683,.86462212,1.2675594,1.5376698
1970,0,1,0,,-.0064237714,198,,,,,,,,
1970,0,,0,,-.45545524,108,,,,,,,,
1972,1,,1,1,.1502741,230,.87179488,.92307693,3.4358974,3.6923077,.78961277,.87249088,3.2302246,3.4275923
1972,0,1,0,,-.1502741,169,,,,,,,,
1972,0,,0,,-.55699342,88,,,,,,,,
1974,1,,1,1,.26750273,253,.8611111,.94444442,3.75,3.9444444,.82947636,.87852508,4.1833878,4.3323207
1974,0,1,0,,-.26750273,146,,,,,,,,
1974,0,,0,,-.61255538,77,,,,,,,,
1976,1,,1,1,.15275466,230,.87179488,.92307693,3.4358974,3.6923077,.78961277,.87249088,3.2302246,3.4275923
1976,0,1,0,,-.15275466,169,,,,,,,,
1976,0,,0,,-.5650717,86,,,,,,,,
1976,0,,0,,-.56603163,86,,,,,,,,
1978,1,,1,1,.20239127,240,.8108108,.91891891,4.4864864,4.5675673,.81335008,.87540913,3.7039032,3.8791282
1978,0,1,0,,-.20239127,159,,,,,,,,
1978,0,,0,,-.58411282,83,,,,,,,,
1980,1,,0,1,.26082361,252,.8125,.84375,3.59375,3.875,.82865345,.87831962,4.1513143,4.3021908
1980,0,1,0,,-.26082361,147,,,,,,,,
1982,1,,1,1,.36926013,273,.79545456,.86363637,5.5454545,5.659091,.83608598,.88088757,4.6386638,4.753602
1982,0,1,0,,-.36926013,126,,,,,,,,
1982,0,,0,,-.67466015,65,,,,,,,,
1984,1,,1,1,.2378197,247,.88235295,.94117647,4.7058825,4.7941175,.82363492,.87720883,3.9804931,4.1412029
1984,0,1,0,,-.2378197,152,,,,,,,,
1984,0,,0,,-.61395293,77,,,,,,,,
1986,1,,1,1,.48799968,297,.80555558,.8611111,4.1111112,4.2222223,.83206755,.87893999,4.7952499,4.8806148
1986,0,1,0,,-.48799968,102,,,,,,,,
1986,0,,0,,-.73765588,52,,,,,,,,
1988,1,,1,1,.54488552,308,.89999998,.89999998,4.4499998,4.4499998,.82952571,.87627715,4.7517023,4.8274698
1988,0,1,0,,-.54488552,91,,,,,,,,
1990,1,,1,1,.42805886,285,.82352942,.88235295,5.0882354,5.2352943,.8347885,.88059026,4.7641473,4.8628111
1990,0,1,0,,-.42805886,114,,,,,,,,
1992,1,,1,1,.36517063,273,.79545456,.86363637,5.5454545,5.659091,.83608598,.88088757,4.6386638,4.753602
1992,0,1,0,,-.36517063,126,,,,,,,,
1992,0,,0,,-.64849955,70,,,,,,,,
1994,1,,1,1,.48580521,297,.80555558,.8611111,4.1111112,4.2222223,.83206755,.87893999,4.7952499,4.8806148
1994,0,1,0,,-.48580521,102,,,,,,,,
1994,0,,0,,-.71586549,56,,,,,,,,
1996,1,,0,1,.48599952,297,.80555558,.8611111,4.1111112,4.2222223,.83206755,.87893999,4.7952499,4.8806148
1996,0,1,0,,-.48599952,102,,,,,,,,
1996,0,,0,,-.72569442,54,,,,,,,,
1996,0,,0,,-.73011023,53,,,,,,,,
1998,1,,,,.16648245,233,,,,,,,,
1998,0,1,,,-.16648245,166,,,,,,,,
1998,0,,,,-.57508439,84,,,,,,,,
1946,1,,0,,.10583711,221,,,,,,,,
1946,0,1,1,1,-.10583711,178,.06779661,.23728813,.54237288,.89830506,.035055377,.21855868,.46224532,.7083478
1948,1,,0,1,.032944798,206,.51999998,.81999999,1.88,2.2,.64922315,.86560214,1.6716632,1.9285142
1948,0,1,0,,-.032944798,193,,,,,,,,
1950,1,,0,,.016441196,203,,,,,,,,
1950,0,1,0,1,-.016441196,196,.125,.47916666,.75,1.0208334,.12173308,.39067942,.93001688,1.2002171
1952,1,,1,,.10971013,221,,,,,,,,
1952,0,1,0,1,-.10971013,178,.06779661,.23728813,.54237288,.89830506,.035055377,.21855868,.46224532,.7083478
1954,1,,1,,.013780028,202,,,,,,,,
1954,0,1,0,1,-.013780028,197,.11363637,.31818181,1.2045455,1.4545455,.12828349,.40616447,.96418285,1.234863
1956,1,,0,,.18098274,236,,,,,,,,
1956,0,1,0,1,-.18098274,163,.017857144,.089285716,.125,.26785713,.011294092,.16187473,.22230281,.43717453
1958,1,,0,1,.065781981,213,.71929824,.82456142,2.3157895,2.6315789,.70737284,.86735737,2.1883206,2.4271116
1958,0,1,1,,-.065781981,186,,,,,,,,
1960,1,,0,,.0024321973,200,,,,,,,,
1960,0,1,1,1,-.0024321973,199,.22222222,.41666666,.77777779,1.0277778,.1404483,.437502,1.0314484,1.3026648
1962,1,,0,1,.016044974,203,.55555558,.84444445,1.8,2.1111112,.61731791,.86496389,1.4257348,1.6907386
1962,0,1,0,,-.016044974,196,,,,,,,,
1964,1,,0,1,.26531625,253,.8611111,.94444442,3.75,3.9444444,.82947636,.87852508,4.1833878,4.3323207
1964,0,1,0,,-.26531625,146,,,,,,,,
1966,1,,0,1,.13008046,226,.73170733,.82926828,2.3170731,2.4878049,.77585834,.87124503,3.0103211,3.217129
1966,0,1,0,,-.13008046,173,,,,,,,,
1966,0,,0,,-.55627209,88,,,,,,,,
1968,1,,0,1,.087058067,217,.64583331,.75,2.3541667,2.6666667,.73361057,.86852217,2.4651525,2.6936741
1968,0,1,0,,-.087058067,182,,,,,,,,
1968,0,,0,,-.53454328,93,,,,,,,,
1970,1,,1,,.065126389,213,,,,,,,,
1970,0,1,0,1,-.065126389,186,.13043478,.30434781,.26086956,.41304347,.064827502,.27599248,.64455962,.90449029
1972,1,,0,,.31877455,263,,,,,,,,
1972,0,1,0,1,-.31877455,136,0,.13725491,.11764706,.23529412,.0028183979,.13083512,.031428855,.20039888
1974,1,,1,1,.19812366,239,.80555558,.8888889,3.6666667,3.9722223,.81150085,.87513131,3.6605484,3.8379252
1974,0,1,0,,-.19812366,160,,,,,,,,
1974,0,,0,,-.57257825,85,,,,,,,,
1976,1,,1,1,.30983108,261,.87179488,.92307693,4.2820511,4.4102564,.83404648,.87987882,4.4061642,4.5404167
1976,0,1,0,,-.30983108,138,,,,,,,,
